"Name","Nationality","Position","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","Goals","Assists","GA","NonPenGoals","PensScored","PensAttempted","YellowCards","RedCards","xG","npxG","xAG","npxG + xAG","ProgressiveCarries","ProgressivePasses","ProgressivePassesReceived","G/90","A/90","GA/90","NonPenGoals/90","NonPenGA/90","xG/90","xAG/90","xA+xG /90","npxG/90","npXG + xAG /90","Matches","Season","Shots","ShotsOnTarget","SoT%","S/90","SoT/90","G/Shot","G/SoT","AvgShotDist","FKShots","npxG/Shot","Goals - xG","npG - npxG","PassesCompleted","PassesAttempted","PercentPassesCompleted","TotalPassingDistance","ProgressedPassingDistance","ShortPassesCompleted","ShortPassesAttempted","ShortPassesPercentCompleted","MedPassesCompleted","MedPassesAttempted","MedPassesPercentCompleted","LongPassesCompleted","LongPassesAttempted","LongPassesPercentCompleted","xA","A - xAG","KeyPasses","1/3","PPen","CPen","Progressive Passes","Tackles","TacklesWon","TklsDefThird","TklsMidThird","TklsAttThird","DribblersTackled","DribblesChallenged","DrblTkl%","ChallengesLost","Blocks","BlockedShots","BlockedPasses","Interceptions","Tackles + Interceptions","Clearances","DefensiveErrors"
"Max Aarons","eng ENG","DF","Bournemouth","24-070","2000","14","12","1,085","12.1","0","1","1","0","0","0","1","0","0.0","0.0","0.8","0.8","19","40","22","0.00","0.08","0.08","0.00","0.08","0.00","0.07","0.07","0.00","0.07","Matches","2023/2024","1","0","0.0","0.08","0.00","0.00","","23.9","0","0.02","0.0","0.0","379","501","75.6","6256","2424","186","213","87.3","156","202","77.2","31","56","55.4","0.9","+0.2","7","22","12","2","40","28","18","20","6","2","19","30","63.3","11","9","5","4","6","34","23","0"
"Bénie Adama Traore","ci CIV","FW,MF","Sheffield Utd","21-105","2002","8","3","387","4.3","0","0","0","0","0","0","0","0","0.3","0.3","0.5","0.8","7","9","14","0.00","0.00","0.00","0.00","0.00","0.06","0.13","0.19","0.06","0.19","Matches","2023/2024","1","1","100.0","0.23","0.23","0.00","0.00","15.3","0","0.27","-0.3","-0.3","55","71","77.5","775","185","34","38","89.5","19","23","82.6","1","1","100.0","0.5","-0.5","4","2","7","1","9","4","2","1","2","1","0","4","0.0","4","4","1","3","1","5","1","0"
"Tyler Adams","us USA","MF","Bournemouth","25-029","1999","1","0","20","0.2","0","0","0","0","0","0","0","0","","","","","","","","0.00","0.00","0.00","0.00","0.00","","","","","","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","11","14","78.6","152","34","8","8","100.0","3","5","60.0","0","1","0.0","0.0","0.0","0","2","0","0","1","","0","","","","","","","","","","","0","","",""
"Tosin Adarabioyo","eng ENG","DF","Fulham","26-172","1997","14","12","1,083","12.0","1","0","1","1","0","0","1","0","0.6","0.6","0.1","0.6","5","38","2","0.08","0.00","0.08","0.08","0.08","0.05","0.01","0.05","0.05","0.05","Matches","2023/2024","10","3","30.0","0.83","0.25","0.10","0.33","15.5","0","0.06","+0.4","+0.4","703","830","84.7","14444","5328","189","211","89.6","432","479","90.2","77","117","65.8","0.3","-0.1","1","28","2","0","38","16","10","11","5","0","10","14","71.4","4","11","8","3","18","34","60","0"
"Elijah Adebayo","eng ENG","FW","Luton Town","26-067","1998","23","13","1,162","12.9","9","0","9","9","0","0","1","0","5.9","5.9","0.7","6.6","15","19","90","0.70","0.00","0.70","0.70","0.70","0.44","0.05","0.49","0.44","0.49","Matches","2023/2024","28","12","42.9","2.17","0.93","0.32","0.75","9.5","0","0.20","+3.4","+3.4","128","177","72.3","1627","336","84","105","80.0","35","52","67.3","3","6","50.0","0.4","-0.7","14","7","3","0","19","1","0","1","0","0","0","10","0.0","10","8","1","7","5","6","23","0"
"Simon Adingra","ci CIV","FW","Brighton","22-073","2002","21","16","1,446","16.1","6","1","7","6","0","0","2","0","3.1","3.1","2.3","5.4","72","32","199","0.37","0.06","0.44","0.37","0.44","0.19","0.14","0.34","0.19","0.34","Matches","2023/2024","33","15","45.5","2.05","0.93","0.18","0.40","16.1","0","0.10","+2.9","+2.9","425","566","75.1","6033","1085","269","328","82.0","129","172","75.0","16","26","61.5","1.7","-1.3","20","9","23","8","32","22","12","12","5","5","11","29","37.9","18","16","1","15","12","34","10","0"
"Nayef Aguerd","ma MAR","DF","West Ham","27-350","1996","20","20","1,767","19.6","1","0","1","1","0","0","3","1","1.5","1.5","0.2","1.8","10","64","3","0.05","0.00","0.05","0.05","0.05","0.08","0.01","0.09","0.08","0.09","Matches","2023/2024","14","3","21.4","0.71","0.15","0.07","0.33","10.8","0","0.11","-0.5","-0.5","877","1103","79.5","18574","8383","312","333","93.7","415","453","91.6","137","290","47.2","0.4","-0.2","3","69","2","0","64","23","12","17","6","0","14","19","73.7","5","31","23","8","17","40","82","2"
"Brandon Aguilera","cr CRC","FW","Nott'ham Forest","20-260","2003","1","0","5","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","4","8","50.0","48","23","3","6","50.0","1","2","50.0","0","0","","0.0","0.0","0","1","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Naouirou Ahamada","fr FRA","MF,FW","Crystal Palace","21-351","2002","16","0","235","2.6","0","0","0","0","0","0","1","0","0.4","0.4","0.0","0.4","15","11","17","0.00","0.00","0.00","0.00","0.00","0.14","0.01","0.15","0.14","0.15","Matches","2023/2024","7","1","14.3","2.68","0.38","0.00","0.00","20.1","0","0.05","-0.4","-0.4","87","109","79.8","1249","306","48","56","85.7","32","37","86.5","2","4","50.0","0.1","0.0","1","2","0","0","11","6","4","3","3","0","4","11","36.4","7","3","0","3","1","7","3","0"
"Anel Ahmedhodžic","ba BIH","DF","Sheffield Utd","24-354","1999","22","20","1,840","20.4","1","0","1","1","0","0","8","0","2.5","2.5","0.0","2.6","9","29","17","0.05","0.00","0.05","0.05","0.05","0.12","0.00","0.13","0.12","0.13","Matches","2023/2024","15","3","20.0","0.73","0.15","0.07","0.33","12.4","0","0.17","-1.5","-1.5","538","714","75.4","8832","3369","259","298","86.9","234","288","81.3","34","93","36.6","0.1","0.0","1","28","1","0","29","48","30","35","11","2","22","36","61.1","14","32","19","13","23","71","98","1"
