"Name","Nationality","Pos","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","GoalsAgainst","GoalsAgainst/90","SotAgainst","Saves","SavePercentage","Wins","Draws","Losses","CleanSheets","CleanSheetPercent","PensAttempted","PensAllowed","PensSaved","PensMissed","PenSavePercent","Matches","Season"
"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches","2023/2024"
"Alisson","br BRA","GK","Liverpool","31-164","1992","21","21","1,890","21.0","19","0.90","73","55","75.3","13","6","2","7","33.3","1","1","0","0","0.0","Matches","2023/2024"
"Alphonse Areola","fr FRA","GK","West Ham","31-016","1993","25","25","2,204","24.5","40","1.63","144","104","75.0","10","7","8","4","16.0","6","4","2","0","33.3","Matches","2023/2024"
"Daniel Bentley","eng ENG","GK","Wolves","30-245","1993","4","2","293","3.3","4","1.23","12","8","66.7","1","0","1","1","50.0","0","0","0","0","","Matches","2023/2024"
"Martin Dúbravka","sk SVK","GK","Newcastle Utd","35-059","1989","14","13","1,175","13.1","30","2.30","89","58","69.7","4","2","7","3","23.1","4","3","1","0","25.0","Matches","2023/2024"
"Ederson","br BRA","GK","Manchester City","30-210","1993","27","27","2,312","25.7","25","0.97","72","48","69.4","18","6","3","8","29.6","3","3","0","0","0.0","Matches","2023/2024"
"Lukasz Fabianski","pl POL","GK","West Ham","38-331","1985","5","3","316","3.5","9","2.56","20","11","60.0","2","0","1","1","33.3","1","1","0","0","0.0","Matches","2023/2024"
"Mark Flekken","nl NED","GK","Brentford","30-275","1993","27","27","2,385","26.5","50","1.89","136","86","64.0","7","5","15","4","14.8","1","1","0","0","0.0","Matches","2023/2024"
"Wes Foderingham","eng ENG","GK","Sheffield Utd","33-060","1991","25","24","2,199","24.4","63","2.58","165","106","63.6","3","4","17","1","4.2","4","3","0","1","0.0","Matches","2023/2024"
"Ivo Grbic","hr CRO","GK","Sheffield Utd","28-056","1996","4","4","321","3.6","11","3.08","24","14","54.2","0","1","3","0","0.0","1","0","0","1","","Matches","2023/2024"
"Dean Henderson","eng ENG","GK","Crystal Palace","27-002","1997","8","8","720","8.0","20","2.50","45","25","57.8","2","2","4","0","0.0","1","1","0","0","0.0","Matches","2023/2024"
"Sam Johnstone","eng ENG","GK","Crystal Palace","30-355","1993","20","20","1,796","20.0","27","1.35","67","41","62.7","5","6","9","6","30.0","2","2","0","0","0.0","Matches","2023/2024"
"Thomas Kaminski","be BEL","GK","Luton Town","31-143","1992","28","28","2,520","28.0","56","2.00","162","107","66.7","5","7","16","2","7.1","2","2","0","0","0.0","Matches","2023/2024"
"Loris Karius","de GER","GK","Newcastle Utd","30-266","1993","1","1","90","1.0","4","4.00","7","4","42.9","0","0","1","0","0.0","0","0","0","0","","Matches","2023/2024"
"Caoimhín Kelleher","ie IRL","GK","Liverpool","25-112","1998","7","7","630","7.0","7","1.00","27","20","74.1","6","1","0","2","28.6","0","0","0","0","","Matches","2023/2024"
"Bernd Leno","de GER","GK","Fulham","32-010","1992","28","28","2,520","28.0","44","1.57","140","100","72.9","10","5","13","7","25.0","6","6","0","0","0.0","Matches","2023/2024"
"Emiliano Martínez","ar ARG","GK","Aston Villa","31-194","1992","27","27","2,430","27.0","40","1.48","112","75","64.3","16","4","7","6","22.2","0","0","0","0","","Matches","2023/2024"
"Remi Matthews","eng ENG","GK","Crystal Palace","30-033","1994","1","0","4","0.0","1","22.50","1","0","0.0","0","0","0","0","","0","0","0","0","","Matches","2023/2024"
"Neto","br BRA","GK","Bournemouth","34-239","1989","26","26","2,340","26.0","43","1.65","135","92","71.1","7","9","10","6","23.1","5","4","1","0","20.0","Matches","2023/2024"
"Robin Olsen","se SWE","GK","Aston Villa","34-066","1990","1","1","90","1.0","1","1.00","2","1","50.0","1","0","0","0","0.0","0","0","0","0","","Matches","2023/2024"
"André Onana","cm CMR","GK","Manchester Utd","27-347","1996","28","28","2,520","28.0","39","1.39","141","103","74.5","15","2","11","8","28.6","3","3","0","0","0.0","Matches","2023/2024"
"Stefan Ortega","de GER","GK","Manchester City","31-129","1992","3","1","208","2.3","3","1.30","12","9","75.0","1","0","0","0","0.0","0","0","0","0","","Matches","2023/2024"
"Ðorde Petrovic","rs SRB","GK","Chelsea","24-158","1999","12","11","997","11.1","20","1.81","60","41","68.3","6","2","3","2","18.2","2","1","0","1","0.0","Matches","2023/2024"
"Jordan Pickford","eng ENG","GK","Everton","30-007","1994","28","28","2,520","28.0","39","1.39","120","83","73.3","8","7","13","8","28.6","7","7","0","0","0.0","Matches","2023/2024"
"Nick Pope","eng ENG","GK","Newcastle Utd","31-330","1992","14","14","1,255","13.9","14","1.00","53","39","73.6","8","2","4","5","35.7","0","0","0","0","","Matches","2023/2024"
"Ionu<U+021B> Radu","ro ROU","GK","Bournemouth","26-291","1997","2","2","180","2.0","7","3.50","11","4","36.4","1","0","1","0","0.0","0","0","0","0","","Matches","2023/2024"
"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches","2023/2024"
"Aaron Ramsdale","eng ENG","GK","Arsenal","25-305","1998","6","6","540","6.0","5","0.83","14","9","64.3","5","1","0","2","33.3","0","0","0","0","","Matches","2023/2024"
"David Raya","es ESP","GK","Arsenal","28-181","1995","22","22","1,980","22.0","19","0.86","51","32","64.7","15","3","4","9","40.9","2","1","1","0","50.0","Matches","2023/2024"
"José Sá","pt POR","GK","Wolves","31-057","1993","26","26","2,227","24.7","40","1.62","118","79","70.3","11","5","10","4","15.4","5","5","0","0","0.0","Matches","2023/2024"
"Robert Sánchez","es ESP","GK","Chelsea","26-117","1997","16","16","1,433","15.9","25","1.57","78","52","70.5","5","4","7","3","18.8","3","2","1","0","33.3","Matches","2023/2024"
"Matz Sels","be BEL","GK","Nott'ham Forest","32-017","1992","6","6","540","6.0","10","1.67","19","10","47.4","1","1","4","1","16.7","0","0","0","0","","Matches","2023/2024"
