Name,Season,player_id,date,market_value_in_eur,current_club_id,player_club_domestic_competition_id,Nationality,Position,Team,Age,YOB,MatchedPlayed,Starts,MinutesPlayed,90s,Goals,Assists,GA,NonPenGoals,PensScored,PensAttempted,YellowCards,RedCards,xG,npxG,xAG,npxG + xAG,ProgressiveCarries,ProgressivePasses,ProgressivePassesReceived,G/90,A/90,GA/90,NonPenGoals/90,NonPenGA/90,xG/90,xAG/90,xA+xG /90,npxG/90,npXG + xAG /90,Matches,Shots,ShotsOnTarget,SoT%,S/90,SoT/90,G/Shot,G/SoT,AvgShotDist,FKShots,npxG/Shot,Goals - xG,npG - npxG,PassesCompleted,PassesAttempted,PercentPassesCompleted,TotalPassingDistance,ProgressedPassingDistance,ShortPassesCompleted,ShortPassesAttempted,ShortPassesPercentCompleted,MedPassesCompleted,MedPassesAttempted,MedPassesPercentCompleted,LongPassesCompleted,LongPassesAttempted,LongPassesPercentCompleted,xA,A - xAG,KeyPasses,1/3,PPen,CPen,Progressive Passes,Tackles,TacklesWon,TklsDefThird,TklsMidThird,TklsAttThird,DribblersTackled,DribblesChallenged,DrblTkl%,ChallengesLost,Blocks,BlockedShots,BlockedPasses,Interceptions,Tackles + Interceptions,Clearances,DefensiveErrors,nationality_id,team_id,position_id,season_id
Aaron Connolly,2019/2020,434207,2020-04-08,4000000,1237,GB1,ie IRL,FW,Brighton,19,2000,24,14,"1,258",14.0,3,1,4,3,0,0,0,0,4.0,4.0,0.5,4.5,21.0,10.0,86.0,0.21,0.07,0.29,0.21,0.29,0.28,0.04,0.32,0.28,0.32,Matches,38,13,34.2,2.72,0.93,0.08,0.23,16.2,0.0,0.11,-1.0,-1.0,113.0,155.0,72.9,1387.0,183.0,66.0,83.0,79.5,30.0,40.0,75.0,2.0,2.0,100.0,0.4,0.5,6.0,9.0,2.0,0.0,10.0,7.0,6,1.0,4.0,2.0,3.0,10.0,30.0,7.0,11.0,0.0,11.0,0,7.0,3.0,0.0,1,1,1,1
Aaron Connolly,2020/2021,434207,2021-06-08,7000000,1237,GB1,ie IRL,FW,Brighton,20,2000,17,9,791,8.8,2,1,3,2,0,0,0,0,4.0,4.0,0.2,4.2,12.0,4.0,58.0,0.23,0.11,0.34,0.23,0.34,0.45,0.02,0.48,0.45,0.48,Matches,23,8,34.8,2.62,0.91,0.09,0.25,14.0,0.0,0.17,-2.0,-2.0,72.0,94.0,76.6,844.0,176.0,51.0,65.0,78.5,14.0,16.0,87.5,0.0,1.0,0.0,0.1,0.8,6.0,3.0,1.0,0.0,4.0,6.0,3,1.0,3.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,4.0,0,6.0,2.0,0.0,1,1,1,2
Aaron Connolly,2021/2022,434207,2022-05-13,6000000,1237,GB1,ie IRL,"FW,MF",Brighton,21,2000,4,1,156,1.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.21,0.06,0.26,0.21,0.26,Matches,2,0,0.0,1.15,0.0,0.0,0.0,15.5,0.0,0.18,-0.4,-0.4,14.0,19.0,73.7,172.0,16.0,8.0,8.0,100.0,5.0,5.0,100.0,0.0,1.0,0.0,0.1,-0.1,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,0.0,0.0,0.0,1,1,2,3
Aaron Cresswell,2019/2020,92571,2020-04-08,6500000,379,GB1,eng ENG,DF,West Ham,29,1989,31,31,"2,727",30.3,3,0,3,3,0,0,7,0,1.4,1.4,3.2,4.5,43.0,166.0,97.0,0.1,0.0,0.1,0.1,0.1,0.05,0.11,0.15,0.05,0.15,Matches,17,5,29.4,0.56,0.17,0.18,0.6,21.7,7.0,0.08,1.6,1.6,1232.0,1705.0,72.3,20084.0,9913.0,676.0,753.0,89.8,425.0,597.0,71.2,110.0,256.0,43.0,2.2,-3.2,26.0,135.0,21.0,17.0,166.0,43.0,26,21.0,18.0,4.0,23.0,46.0,50.0,23.0,33.0,10.0,23.0,35,78.0,75.0,2.0,2,2,3,1
Aaron Cresswell,2020/2021,92571,2021-06-03,5000000,379,GB1,eng ENG,DF,West Ham,30,1989,36,36,"3,170",35.2,0,8,8,0,0,0,3,0,1.0,1.0,6.5,7.5,35.0,162.0,96.0,0.0,0.23,0.23,0.0,0.23,0.03,0.18,0.21,0.03,0.21,Matches,19,4,21.1,0.54,0.11,0.0,0.0,25.4,11.0,0.05,-1.0,-1.0,1586.0,2141.0,74.1,28632.0,13845.0,754.0,847.0,89.0,606.0,755.0,80.3,198.0,429.0,46.2,5.0,1.5,58.0,174.0,26.0,18.0,162.0,32.0,13,15.0,15.0,2.0,18.0,32.0,56.3,14.0,29.0,14.0,15.0,32,64.0,79.0,2.0,2,2,3,2
Aaron Cresswell,2021/2022,92571,2021-12-23,4000000,379,GB1,eng ENG,DF,West Ham,31,1989,31,31,"2,726",30.3,2,3,5,2,0,0,3,0,1.1,1.1,3.2,4.2,54.0,186.0,99.0,0.07,0.1,0.17,0.07,0.17,0.04,0.1,0.14,0.04,0.14,Matches,18,3,16.7,0.59,0.1,0.11,0.67,20.5,8.0,0.06,0.9,0.9,1656.0,2096.0,79.0,27331.0,11135.0,837.0,912.0,91.8,650.0,755.0,86.1,134.0,318.0,42.1,3.0,-0.2,31.0,131.0,19.0,12.0,186.0,28.0,18,18.0,6.0,4.0,13.0,25.0,52.0,12.0,31.0,18.0,13.0,35,63.0,66.0,0.0,2,2,3,3
Aaron Cresswell,2022/2023,92571,2022-11-03,2500000,379,GB1,eng ENG,DF,West Ham,32,1989,28,24,"2,235",24.8,0,1,1,0,0,0,3,0,0.3,0.3,3.7,4.0,35.0,145.0,82.0,0.0,0.04,0.04,0.0,0.04,0.01,0.15,0.16,0.01,0.16,Matches,9,1,11.1,0.36,0.04,0.0,0.0,22.5,4.0,0.04,-0.3,-0.3,1127.0,1448.0,77.8,18285.0,8587.0,626.0,670.0,93.4,387.0,497.0,77.9,100.0,206.0,48.5,2.9,-2.7,40.0,91.0,28.0,15.0,145.0,21.0,11,12.0,7.0,2.0,12.0,31.0,38.7,19.0,21.0,11.0,10.0,27,48.0,56.0,0.0,2,2,3,4
Aaron Cresswell,2023/2024,92571,2023-12-19,900000,379,GB1,eng ENG,DF,West Ham,34,1989,5,3,235,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,3.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,160.0,83.1,2101.0,880.0,84.0,90.0,93.3,32.0,42.0,76.2,13.0,23.0,56.5,0.3,-0.3,4.0,8.0,2.0,0.0,16.0,1.0,0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,2.0,1.0,1,2.0,4.0,0.0,2,2,3,5
Aaron Hickey,2022/2023,591949,2022-11-03,18000000,1148,GB1,sct SCO,DF,Brentford,20,2002,26,23,"1,916",21.3,0,1,1,0,0,0,7,0,0.4,0.4,0.4,0.8,41.0,81.0,47.0,0.0,0.05,0.05,0.0,0.05,0.02,0.02,0.04,0.02,0.04,Matches,11,2,18.2,0.52,0.09,0.0,0.0,21.5,0.0,0.04,-0.4,-0.4,695.0,838.0,82.9,10995.0,3282.0,373.0,411.0,90.8,265.0,310.0,85.5,46.0,80.0,57.5,0.6,0.6,6.0,62.0,13.0,4.0,81.0,38.0,26,27.0,11.0,0.0,18.0,32.0,56.3,14.0,18.0,7.0,11.0,17,55.0,32.0,1.0,3,3,3,4
Aaron Hickey,2023/2024,591949,2023-12-19,30000000,1148,GB1,sct SCO,DF,Brentford,21,2002,9,9,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,7,1,14.3,0.88,0.13,0.0,0.0,25.3,0.0,0.03,-0.2,-0.2,243.0,277.0,87.7,3813.0,894.0,134.0,140.0,95.7,92.0,106.0,86.8,14.0,20.0,70.0,0.1,-0.1,1.0,10.0,2.0,0.0,21.0,16.0,9,9.0,3.0,4.0,7.0,7.0,100.0,0.0,7.0,3.0,4.0,3,19.0,10.0,0.0,3,3,3,5
